capture_id,sample_count,dynamic_instances,static_instances,total_instances,changed_instances_avg,changed_instances_min,changed_instances_max,tlas_memory_mb,tlas_scratch_mb,ptlas_memory_mb,ptlas_scratch_mb,tlas_update_gpu_ms_avg,tlas_update_gpu_ms_min,tlas_update_gpu_ms_max,render_gpu_ms_avg,render_gpu_ms_min,render_gpu_ms_max,animation_update_instances_gpu_ms_avg,notes
classic_tlas_refit,10,169231,1220175,1389406,4252.0,4011,5084,285.68,103.97,320.18,110.24,0.670,0.656,0.706,1.198,1.139,1.308,n/a,accepted; PTLAS inactive; Refit TLAS checked; Animation update instances row not required for classic TLAS
ptlas_local_partition_verified,10,169231,1220175,1389406,8949.7,760,16157,285.68,103.97,320.18,110.24,1.042,0.647,1.393,1.270,1.180,1.474,0.019,accepted; verified reset; PTLAS active; Always update partition
ptlas_global_partition_verified,10,169231,1220175,1389406,8978.4,760,16141,285.68,103.97,320.18,110.24,1.059,0.688,1.364,1.407,1.169,1.519,0.019,accepted; verified reset; PTLAS active; Always move dynamic to global; compare update and render together
ptlas_hybrid_distance,10,169231,1220175,1389406,9008.0,788,16132,285.68,103.97,320.18,110.24,1.060,0.637,1.383,1.291,1.165,1.416,0.019,accepted; verified reset; hybrid mode with mode change distance 100.000
